sample_idx,image_id,iou,prediction,pred_boxes,gt_boxes
39,0070970471254_2,0.35474174675068787,"nutrition-table(216,490),(798,649)","[[0.216, 0.49, 0.798, 0.649]]","[[0.48591768741607666, 0.3756026327610016, 0.6485020518302917, 0.7986351251602173], [0.2554838955402374, 0.15960527956485748, 0.4497726559638977, 0.3202105164527893]]"
40,01575118_2,0.3173675938470634,"nutrition-table-text(206,313),(786,599)","[[0.206, 0.313, 0.786, 0.599]]","[[0.31554079055786133, 0.3503975570201874, 0.636206328868866, 0.544193685054779]]"
41,0016000264694_1,0.9306261112777038,"nutrition-table-text(45,396),(768,685)","[[0.045, 0.396, 0.768, 0.685]]","[[0.3866666555404663, 0.023499999195337296, 0.6819999814033508, 0.7684999704360962]]"
42,0021000653218_1,0.7966069678977362,"nutrition-table(69,21),(800,499)","[[0.069, 0.021, 0.8, 0.499]]","[[0.023000000044703484, 0.12087912112474442, 0.4505000114440918, 0.8351648449897766]]"
43,20840822_1,0.9441689383333457,"nutrition-table(45,474),(488,735)","[[0.045, 0.474, 0.488, 0.735]]","[[0.46799999475479126, 0.03911111131310463, 0.7335000038146973, 0.48088890314102173]]"
44,0011156054502_2,0.9723385867121872,"nutrition-table(94,68),(857,643)","[[0.094, 0.068, 0.857, 0.643]]","[[0.05943627282977104, 0.09191176295280457, 0.639399528503418, 0.8602941036224365]]"
45,0016000275348_2,0.9213238075189049,"nutrition-table(393,56),(676,376)","[[0.393, 0.056, 0.676, 0.376]]","[[0.057999998331069946, 0.3964444398880005, 0.36500000953674316, 0.6844444274902344]]"
46,0046100001639_2,0.8490371924750139,"nutrition-table(323,188),(762,513)","[[0.323, 0.188, 0.762, 0.513]]","[[0.20350150763988495, 0.3102409541606903, 0.5343173146247864, 0.7510040402412415]]"
47,0018627703211_3,0.6051160991259945,"nutrition-table(51,206),(936,433)","[[0.051, 0.206, 0.936, 0.433]]","[[0.1816176474094391, 0.03614457696676254, 0.5360293984413147, 0.9728915691375732]]"
48,0073007107140_1,0.849785395100639,"nutrition-table(519,462),(750,650)","[[0.519, 0.462, 0.75, 0.65]]","[[0.46031367778778076, 0.5147435665130615, 0.677281379699707, 0.7496795058250427]]"
49,0036200013694_2,0.9303361135828415,"nutrition-table(356,360),(643,758)","[[0.356, 0.36, 0.643, 0.758]]","[[0.3607959449291229, 0.360897421836853, 0.7608770132064819, 0.6565102338790894]]"
50,26191218_2,0.9344292786315698,"nutrition-table(65,158),(861,657)","[[0.065, 0.158, 0.861, 0.657]]","[[0.14920978248119354, 0.07199999690055847, 0.6732797026634216, 0.8524444699287415]]"
51,20574369_2,0.6744116695452153,"nutrition-table-small(585,623),(851,735)","[[0.585, 0.623, 0.851, 0.735]]","[[0.621874988079071, 0.510937511920929, 0.7515624761581421, 0.8515625]]"
52,26167932_4,0.79393343187346,"nutrition-table(15,0),(980,811)","[[0.015, 0.0, 0.98, 0.811]]","[[0.0, 0.006267217453569174, 1.0, 0.9920110702514648]]"
53,0049000027624_2,0.830285092762385,"nutrition-table(31,146),(876,872)","[[0.031, 0.146, 0.876, 0.872]]","[[0.15746968984603882, 0.032596733421087265, 0.8628473281860352, 0.7546992897987366]]"
54,20574444_2,0.8486229450530579,"nutrition-table(358,403),(726,743)","[[0.358, 0.403, 0.726, 0.743]]","[[0.41580578684806824, 0.35300925374031067, 0.7702952027320862, 0.7399691343307495]]"
55,0038000787270_2,0.9719067651990324,"nutrition-table(240,69),(583,579)","[[0.24, 0.069, 0.583, 0.579]]","[[0.06741566956043243, 0.24387255311012268, 0.5821078419685364, 0.5857843160629272]]"
56,0027400264993_1,0.9421463908116126,"nutrition-table(165,353),(426,633)","[[0.165, 0.353, 0.426, 0.633]]","[[0.35503801703453064, 0.16634614765644073, 0.6297528743743896, 0.4355769157409668]]"
57,2407968021654_2,0.3975723101088679,"nutrition-table-text(100,335),(823,433)","[[0.1, 0.335, 0.823, 0.433]]","[[0.3204118609428406, 0.0774463638663292, 0.38370683789253235, 0.7697540521621704]]"
58,0014054030715_2,0.9756169402002095,"nutrition-table(171,151),(736,667)","[[0.171, 0.151, 0.736, 0.667]]","[[0.14966242015361786, 0.16899999976158142, 0.6725431084632874, 0.7404999732971191]]"
59,50300853_1,0.5393109803586051,"nutrition-table(315,690),(506,851)","[[0.315, 0.69, 0.506, 0.851]]","[[0.7121913433074951, 0.3539094626903534, 0.8391203880310059, 0.48456791043281555]]"
60,3250391868322_6,0.39869509864832636,"nutrition-table-text(39,468),(992,549)","[[0.039, 0.468, 0.992, 0.549]]","[[0.5, 0.06170421093702316, 0.5404411554336548, 0.8227227926254272]]"
61,3410280003832_1,0.9555077764139205,"nutrition-table(102,506),(698,812)","[[0.102, 0.506, 0.698, 0.812]]","[[0.5094801187515259, 0.11177248507738113, 0.8070336580276489, 0.6974206566810608]]"
62,3230140005024_3,0.9477294627443538,"nutrition-table(181,411),(756,680)","[[0.181, 0.411, 0.756, 0.68]]","[[0.4107142984867096, 0.16732804477214813, 0.6870039701461792, 0.7539682388305664]]"
63,26067674_3,0.5804912375282711,"nutrition-table(468,48),(800,498)","[[0.468, 0.048, 0.8, 0.498]]","[[0.031111111864447594, 0.44798529148101807, 0.6382222175598145, 0.8719080686569214]]"
64,20719159_3,0.412343935468092,"nutrition-table(178,213),(826,513)","[[0.178, 0.213, 0.826, 0.513]]","[[0.2043779045343399, 0.17728757858276367, 0.5629383325576782, 0.8157680034637451], [0.516237735748291, 0.2953431308269501, 0.5177696347236633, 0.2977941036224365]]"
65,0034000123803_7,0.7124420481157947,"nutrition-table(351,240),(692,473)","[[0.351, 0.24, 0.692, 0.473]]","[[0.239103764295578, 0.3148764371871948, 0.5220443606376648, 0.709030032157898]]"
66,3222473615476_3,0.5534406555335338,"nutrition-table(51,266),(951,701)","[[0.051, 0.266, 0.951, 0.701]]","[[0.3479999899864197, 0.05849999934434891, 0.5920000076293945, 0.9465000033378601]]"
67,0067312002832_4,0.8786518089382065,"nutrition-table(18,151),(451,735)","[[0.018, 0.151, 0.451, 0.735]]","[[0.14090019464492798, 0.019179893657565117, 0.7899543642997742, 0.460317462682724]]"
68,26015637_2,0.9126360150502848,"nutrition-table(171,233),(970,843)","[[0.171, 0.233, 0.97, 0.843]]","[[0.2360703945159912, 0.1394922137260437, 0.8331181406974792, 0.9976447820663452]]"
69,0025616102504_2,0.8938727047175161,"nutrition-table(75,292),(772,800)","[[0.075, 0.292, 0.772, 0.8]]","[[0.28700000047683716, 0.07999999821186066, 0.8462552428245544, 0.7786666750907898]]"
70,20551926_2,0.7516709711395698,"nutrition-table(154,231),(819,800)","[[0.154, 0.231, 0.819, 0.8]]","[[0.19184359908103943, 0.16299019753932953, 0.6960784196853638, 0.8158625364303589]]"
71,0054800010080_3,0.9498229791020546,"nutrition-table(333,43),(628,431)","[[0.333, 0.043, 0.628, 0.431]]","[[0.03174273297190666, 0.3341214060783386, 0.43686118721961975, 0.6293769478797913]]"
72,20117795_2,0.9187465694209914,"nutrition-table(29,40),(956,944)","[[0.029, 0.04, 0.956, 0.944]]","[[0.014370867051184177, 0.020783649757504463, 0.9051470756530762, 0.9603039622306824]]"
73,0043647020017_2,0.5437561548738198,"nutrition-table(351,595),(786,725)","[[0.351, 0.595, 0.786, 0.725]]","[[0.5898919701576233, 0.3369341492652893, 0.7218364477157593, 0.6069958806037903]]"
74,0043646210389_1,0.9277157423094677,"nutrition-table(266,515),(680,648)","[[0.266, 0.515, 0.68, 0.648]]","[[0.5187737345695496, 0.2669871747493744, 0.6535171270370483, 0.6814102530479431]]"
75,26117959_7,1.0,"nutrition-table(0,0),(1000,1000)","[[0.0, 0.0, 1.0, 1.0]]","[[0.0, 0.0, 1.0, 1.0]]"
76,20165079_2,0.9379561693361719,"nutrition-table(42,83),(898,492)","[[0.042, 0.083, 0.898, 0.492]]","[[0.07595425099134445, 0.050245098769664764, 0.47956517338752747, 0.903825581073761]]"
77,24632621_4,0.9232794395329676,"nutrition-table(51,323),(975,703)","[[0.051, 0.323, 0.975, 0.703]]","[[0.3177083432674408, 0.04616013169288635, 0.7254902124404907, 0.9787581562995911]]"
78,9300601250240_2,0.9640518548308826,"nutrition-table(106,455),(798,800)","[[0.106, 0.455, 0.798, 0.8]]","[[0.46050000190734863, 0.10222221910953522, 0.8044999837875366, 0.7964444160461426]]"
79,20674540_2,0.773411055808644,"nutrition-table(285,625),(938,858)","[[0.285, 0.625, 0.938, 0.858]]","[[0.6319128274917603, 0.38799232244491577, 0.8463024497032166, 0.939460813999176]]"
80,0072878515276_2,0.9265797347412967,"nutrition-table(369,433),(639,743)","[[0.369, 0.433, 0.639, 0.743]]","[[0.43797528743743896, 0.3759615421295166, 0.7365557551383972, 0.6425546407699585]]"
81,3250390023777_3,0.9561431630541781,"nutrition-table(0,238),(999,948)","[[0.0, 0.238, 0.999, 0.948]]","[[0.22800925374031067, 0.0, 0.9270833134651184, 1.0]]"
82,0037466016450_2,0.8593714330483367,"nutrition-table(216,431),(450,651)","[[0.216, 0.431, 0.45, 0.651]]","[[0.4325000047683716, 0.2275555580854416, 0.6340000033378601, 0.4471110999584198]]"
83,3068320112893_9,0.9843365018328653,"nutrition-table(18,0),(999,999)","[[0.018, 0.0, 0.999, 0.999]]","[[0.0024999999441206455, 0.011435105465352535, 0.9933735132217407, 1.0]]"
84,93300292_2,0.32488775032771167,"nutrition-table(456,513),(800,974)","[[0.456, 0.513, 0.8, 0.974]]","[[0.5264295339584351, 0.4570499658584595, 0.9673084020614624, 0.6907740235328674], [0.1290082037448883, 0.1328859031200409, 0.30797910690307617, 0.2604026794433594]]"
85,2000000033325_2,0.7581615835933901,"nutrition-table-text(1,0),(801,999)","[[0.001, 0.0, 0.801, 0.999]]","[[0.060150377452373505, 0.005859375, 0.9774436354637146, 0.978515625]]"
86,00854252_6,0.8375605151986872,"nutrition-table(208,306),(716,631)","[[0.208, 0.306, 0.716, 0.631]]","[[0.3218750059604645, 0.21458333730697632, 0.598437488079071, 0.7145833373069763]]"
87,01642582_1,0.6980906530196531,"nutrition-table-text(75,631),(523,799)","[[0.075, 0.631, 0.523, 0.799]]","[[0.6230000257492065, 0.08733333647251129, 0.7590000033378601, 0.531333327293396]]"
88,0014100074120_2,0.9597005341744033,"nutrition-table(355,226),(684,533)","[[0.355, 0.226, 0.684, 0.533]]","[[0.22267110645771027, 0.3480769097805023, 0.535646378993988, 0.6836538314819336]]"
89,0038000316104_4,0.5723727112181358,"nutrition-table(75,66),(536,911)","[[0.075, 0.066, 0.536, 0.911]]","[[0.0632440447807312, 0.0763888880610466, 0.5659722089767456, 0.5572090148925781]]"
90,0021000419074_1,0.8705135492371425,"nutrition-table(131,236),(520,462)","[[0.131, 0.236, 0.52, 0.462]]","[[0.2384081333875656, 0.13628517091274261, 0.4574841558933258, 0.485617458820343]]"
91,3250390768296_3,0.951830719706299,"nutrition-table(115,266),(912,868)","[[0.115, 0.266, 0.912, 0.868]]","[[0.27666667103767395, 0.11349999904632568, 0.8579999804496765, 0.9225000143051147]]"
92,20298302_2,0.7585422896965701,"nutrition-table(575,100),(936,556)","[[0.575, 0.1, 0.936, 0.556]]","[[0.06714178621768951, 0.5540000200271606, 0.6339635848999023, 0.9350000023841858]]"
93,3284230002240_2,0.9413257262550474,"nutrition-table(325,266),(676,872)","[[0.325, 0.266, 0.676, 0.872]]","[[0.2486666738986969, 0.3230000138282776, 0.862666666507721, 0.671999990940094]]"
94,26155432_2,0.9689172744874504,"nutrition-table(55,191),(971,880)","[[0.055, 0.191, 0.971, 0.88]]","[[0.19139093160629272, 0.038288287818431854, 0.8775720000267029, 0.9799103736877441]]"
95,3350031653285_1,0.3698110634261431,"nutrition-table(181,543),(803,883)","[[0.181, 0.543, 0.803, 0.883]]","[[0.5721026659011841, 0.5158762335777283, 0.8694701194763184, 0.7788762450218201]]"
96,0072869110138_3,0.9646092721077916,"nutrition-table(168,100),(860,832)","[[0.168, 0.1, 0.86, 0.832]]","[[0.08718752861022949, 0.16850000619888306, 0.8409979939460754, 0.8641433715820312]]"
97,20520090_2,0.7205083539476872,"nutrition-table-text(45,345),(852,543)","[[0.045, 0.345, 0.852, 0.543]]","[[0.3532475531101227, 0.05269607901573181, 0.6017156839370728, 0.8672385811805725]]"
98,20608668_3,0.8528249164202529,"nutrition-table(12,225),(895,643)","[[0.012, 0.225, 0.895, 0.643]]","[[0.21291649341583252, 0.0017585356254130602, 0.6949986815452576, 0.8995097875595093]]"
99,0041498000028_3,0.9013475194776249,"nutrition-table(316,186),(698,598)","[[0.316, 0.186, 0.698, 0.598]]","[[0.18734177947044373, 0.31049999594688416, 0.6081024408340454, 0.7229160666465759]]"
100,0052159000073_2,0.4243355901218583,"nutrition-table(25,166),(809,623)","[[0.025, 0.166, 0.809, 0.623]]","[[0.15744875371456146, 0.37944740056991577, 0.65906822681427, 0.9787784814834595]]"
101,0063667090067_4,0.643940578586612,"nutrition-table(135,193),(892,823)","[[0.135, 0.193, 0.892, 0.823]]","[[0.17800000309944153, 0.12345679104328156, 0.6154999732971191, 0.8996913433074951]]"
102,0021130079278_2,0.6447203293810863,"nutrition-table(331,545),(680,700)","[[0.331, 0.545, 0.68, 0.7]]","[[0.5377851724624634, 0.26346153020858765, 0.7295671105384827, 0.7009615302085876]]"
103,26101989_3,0.726721139849581,"nutrition-table(24,25),(970,746)","[[0.024, 0.025, 0.97, 0.746]]","[[0.013437837362289429, 0.017672644928097725, 0.968875527381897, 1.0]]"
104,0016000106406_2,0.8025994474528756,"nutrition-table(333,21),(712,300)","[[0.333, 0.021, 0.712, 0.3]]","[[0.0, 0.3381410241127014, 0.2751901149749756, 0.7294871807098389]]"
105,20472313_2,0.9159281461561578,"nutrition-table(201,378),(726,598)","[[0.201, 0.378, 0.726, 0.598]]","[[0.3715277910232544, 0.1964745968580246, 0.6065305471420288, 0.7186210751533508]]"
106,0016000442825_4,0.9315134651990343,"nutrition-table-text(25,186),(876,971)","[[0.025, 0.186, 0.876, 0.971]]","[[0.16053812205791473, 0.016534391790628433, 0.9937219619750977, 0.8746693134307861]]"
107,20889869_2,0.8698014677475564,"nutrition-table(45,161),(433,717)","[[0.045, 0.161, 0.433, 0.717]]","[[0.13778795301914215, 0.034971319139003754, 0.7322016954421997, 0.45222246646881104]]"
108,26212630_6,0.7692753260923724,"nutrition-table(1,0),(1000,1000)","[[0.001, 0.0, 1.0, 1.0]]","[[0.006224066484719515, 0.0, 0.7831950187683105, 0.9908745288848877]]"
109,3596710458455_7,0.9416507303894424,"nutrition-table(238,621),(580,858)","[[0.238, 0.621, 0.58, 0.858]]","[[0.6207837462425232, 0.2430555522441864, 0.84995037317276, 0.5767195820808411]]"
110,22000279_5,0.7981616854982979,"nutrition-table(19,0),(999,812)","[[0.019, 0.0, 0.999, 0.812]]","[[0.0, 0.003009021282196045, 1.0, 1.0]]"
111,8480000342096_3,0.9216717455270628,"nutrition-table(268,355),(798,681)","[[0.268, 0.355, 0.798, 0.681]]","[[0.34389856457710266, 0.2733530104160309, 0.6901743412017822, 0.7915437817573547]]"
112,0030000059708_1,0.877729633516972,"nutrition-table(141,335),(816,468)","[[0.141, 0.335, 0.816, 0.468]]","[[0.33829066157341003, 0.13085676729679108, 0.47364458441734314, 0.8514056205749512]]"
113,3257984581972_1,0.6368622457608375,"nutrition-table(85,230),(475,600)","[[0.085, 0.23, 0.475, 0.6]]","[[0.3563057780265808, 0.09330323338508606, 0.6006269454956055, 0.4710308611392975]]"
114,0070177067731_2,0.8639768141176682,"nutrition-table(398,685),(986,899)","[[0.398, 0.685, 0.986, 0.899]]","[[0.6883484125137329, 0.4050000011920929, 0.9242081642150879, 0.9909999966621399]]"
115,0058449771807_2,0.9395215398754784,"nutrition-table(81,31),(880,603)","[[0.081, 0.031, 0.88, 0.603]]","[[0.025647882372140884, 0.07107843458652496, 0.6154565811157227, 0.8958333134651184]]"
116,9300601462889_2,0.7771448495841865,"nutrition-table(48,50),(363,898)","[[0.048, 0.05, 0.363, 0.898]]","[[0.0533333420753479, 0.05299999937415123, 0.9414469003677368, 0.3089999854564667]]"
117,0073141152327_2,0.6595428689116066,"nutrition-table(55,216),(674,533)","[[0.055, 0.216, 0.674, 0.533]]","[[0.22157806158065796, 0.25514477491378784, 0.5365731716156006, 0.674173891544342]]"
118,0071962226104_3,0.9680604411358913,"nutrition-table(175,348),(720,837)","[[0.175, 0.348, 0.72, 0.837]]","[[0.343413770198822, 0.17637762427330017, 0.8466305136680603, 0.719249427318573]]"
119,0039000081047_4,0.9699500285769246,"nutrition-table(218,256),(762,650)","[[0.218, 0.256, 0.762, 0.65]]","[[0.2526378035545349, 0.218901127576828, 0.6482843160629272, 0.7708150148391724]]"
120,26209142_6,0.8865224871785649,"nutrition-table(18,15),(991,991)","[[0.018, 0.015, 0.991, 0.991]]","[[0.0005201268941164017, 0.010787504725158215, 1.0, 0.9060744643211365]]"
121,20511586_3,0.9422854351478224,"nutrition-table(219,10),(640,916)","[[0.219, 0.01, 0.64, 0.916]]","[[0.004195264540612698, 0.22004060447216034, 0.921162486076355, 0.6213199496269226]]"
122,0071921377601_1,0.9388164019020644,"nutrition-table(85,141),(362,543)","[[0.085, 0.141, 0.362, 0.543]]","[[0.14981617033481598, 0.08700980246067047, 0.5306234955787659, 0.3624959886074066]]"
