sample_idx,image_id,iou,prediction,pred_boxes,gt_boxes
54,20574444_2,0.8593659389180419,"nutrition-table(352,396),(728,748)","[[0.352, 0.396, 0.728, 0.748]]","[[0.41580578684806824, 0.35300925374031067, 0.7702952027320862, 0.7399691343307495]]"
55,0038000787270_2,0.8914774150993743,"nutrition-table(238,76),(578,553)","[[0.238, 0.076, 0.578, 0.553]]","[[0.06741566956043243, 0.24387255311012268, 0.5821078419685364, 0.5857843160629272]]"
56,0027400264993_1,0.9409195645102778,"nutrition-table(166,353),(422,630)","[[0.166, 0.353, 0.422, 0.63]]","[[0.35503801703453064, 0.16634614765644073, 0.6297528743743896, 0.4355769157409668]]"
57,2407968021654_2,0.5638453499552208,"nutrition-table-text(100,336),(800,400)","[[0.1, 0.336, 0.8, 0.4]]","[[0.3204118609428406, 0.0774463638663292, 0.38370683789253235, 0.7697540521621704]]"
58,0014054030715_2,0.9740752646804952,"nutrition-table(172,156),(736,673)","[[0.172, 0.156, 0.736, 0.673]]","[[0.14966242015361786, 0.16899999976158142, 0.6725431084632874, 0.7404999732971191]]"
59,50300853_1,0.42549053919272306,"nutrition-table(315,695),(472,793)","[[0.315, 0.695, 0.472, 0.793]]","[[0.7121913433074951, 0.3539094626903534, 0.8391203880310059, 0.48456791043281555]]"
60,3250391868322_6,0.5730283644756092,"nutrition-table-text(19,485),(808,551)","[[0.019, 0.485, 0.808, 0.551]]","[[0.5, 0.06170421093702316, 0.5404411554336548, 0.8227227926254272]]"
61,3410280003832_1,0.9473007757984857,"nutrition-table(106,503),(703,803)","[[0.106, 0.503, 0.703, 0.803]]","[[0.5094801187515259, 0.11177248507738113, 0.8070336580276489, 0.6974206566810608]]"
62,3230140005024_3,0.8946973652649853,"nutrition-table(188,399),(762,681)","[[0.188, 0.399, 0.762, 0.681]]","[[0.4107142984867096, 0.16732804477214813, 0.6870039701461792, 0.7539682388305664]]"
63,26067674_3,0.7106005385983627,"nutrition-table(458,37),(832,526)","[[0.458, 0.037, 0.832, 0.526]]","[[0.031111111864447594, 0.44798529148101807, 0.6382222175598145, 0.8719080686569214]]"
64,20719159_3,0.424550405955104,"nutrition-table(178,208),(826,517)","[[0.178, 0.208, 0.826, 0.517]]","[[0.2043779045343399, 0.17728757858276367, 0.5629383325576782, 0.8157680034637451], [0.516237735748291, 0.2953431308269501, 0.5177696347236633, 0.2977941036224365]]"
65,0034000123803_7,0.7094560916129246,"nutrition-table(351,246),(695,476)","[[0.351, 0.246, 0.695, 0.476]]","[[0.239103764295578, 0.3148764371871948, 0.5220443606376648, 0.709030032157898]]"
66,3222473615476_3,0.6064485794829297,"nutrition-table-text(62,276),(938,675)","[[0.062, 0.276, 0.938, 0.675]]","[[0.3479999899864197, 0.05849999934434891, 0.5920000076293945, 0.9465000033378601]]"
67,0067312002832_4,0.8030696180378432,"nutrition-table(15,101),(435,731)","[[0.015, 0.101, 0.435, 0.731]]","[[0.14090019464492798, 0.019179893657565117, 0.7899543642997742, 0.460317462682724]]"
68,26015637_2,0.8969643838697059,"nutrition-table(176,228),(962,828)","[[0.176, 0.228, 0.962, 0.828]]","[[0.2360703945159912, 0.1394922137260437, 0.8331181406974792, 0.9976447820663452]]"
69,0025616102504_2,0.8737842740182294,"nutrition-table(79,293),(772,787)","[[0.079, 0.293, 0.772, 0.787]]","[[0.28700000047683716, 0.07999999821186066, 0.8462552428245544, 0.7786666750907898]]"
70,20551926_2,0.7260957622660427,"nutrition-table(150,246),(815,800)","[[0.15, 0.246, 0.815, 0.8]]","[[0.19184359908103943, 0.16299019753932953, 0.6960784196853638, 0.8158625364303589]]"
71,0054800010080_3,0.9702020251440561,"nutrition-table(331,36),(628,435)","[[0.331, 0.036, 0.628, 0.435]]","[[0.03174273297190666, 0.3341214060783386, 0.43686118721961975, 0.6293769478797913]]"
72,20117795_2,0.8800837018937545,"nutrition-table(31,101),(960,918)","[[0.031, 0.101, 0.96, 0.918]]","[[0.014370867051184177, 0.020783649757504463, 0.9051470756530762, 0.9603039622306824]]"
73,0043647020017_2,0.5816668900441105,"nutrition-table(342,593),(782,720)","[[0.342, 0.593, 0.782, 0.72]]","[[0.5898919701576233, 0.3369341492652893, 0.7218364477157593, 0.6069958806037903]]"
74,0043646210389_1,0.8620245886010254,"nutrition-table(268,516),(680,638)","[[0.268, 0.516, 0.68, 0.638]]","[[0.5187737345695496, 0.2669871747493744, 0.6535171270370483, 0.6814102530479431]]"
75,26117959_7,0.998,"nutrition-table(1,0),(999,1000)","[[0.001, 0.0, 0.999, 1.0]]","[[0.0, 0.0, 1.0, 1.0]]"
76,20165079_2,0.8853757798450147,"nutrition-table(40,83),(895,448)","[[0.04, 0.083, 0.895, 0.448]]","[[0.07595425099134445, 0.050245098769664764, 0.47956517338752747, 0.903825581073761]]"
77,24632621_4,0.9253041751459784,"nutrition-table(56,318),(970,703)","[[0.056, 0.318, 0.97, 0.703]]","[[0.3177083432674408, 0.04616013169288635, 0.7254902124404907, 0.9787581562995911]]"
78,9300601250240_2,0.9571892939807455,"nutrition-table(111,462),(806,800)","[[0.111, 0.462, 0.806, 0.8]]","[[0.46050000190734863, 0.10222221910953522, 0.8044999837875366, 0.7964444160461426]]"
79,20674540_2,0.8075079427759875,"nutrition-table(300,625),(932,851)","[[0.3, 0.625, 0.932, 0.851]]","[[0.6319128274917603, 0.38799232244491577, 0.8463024497032166, 0.939460813999176]]"
80,0072878515276_2,0.9324899121809094,"nutrition-table(370,435),(638,743)","[[0.37, 0.435, 0.638, 0.743]]","[[0.43797528743743896, 0.3759615421295166, 0.7365557551383972, 0.6425546407699585]]"
81,3250390023777_3,0.9447406997846544,"nutrition-table(0,251),(992,938)","[[0.0, 0.251, 0.992, 0.938]]","[[0.22800925374031067, 0.0, 0.9270833134651184, 1.0]]"
82,0037466016450_2,0.8513553271184954,"nutrition-table(222,433),(455,655)","[[0.222, 0.433, 0.455, 0.655]]","[[0.4325000047683716, 0.2275555580854416, 0.6340000033378601, 0.4471110999584198]]"
83,3068320112893_9,0.977379318709208,"nutrition-table(15,1),(983,993)","[[0.015, 0.001, 0.983, 0.993]]","[[0.0024999999441206455, 0.011435105465352535, 0.9933735132217407, 1.0]]"
84,93300292_2,0.3903891540732394,"nutrition-table(448,516),(730,984)","[[0.448, 0.516, 0.73, 0.984]]","[[0.5264295339584351, 0.4570499658584595, 0.9673084020614624, 0.6907740235328674], [0.1290082037448883, 0.1328859031200409, 0.30797910690307617, 0.2604026794433594]]"
85,2000000033325_2,0.8982539339656567,"nutrition-table-text(6,0),(999,1000)","[[0.006, 0.0, 0.999, 1.0]]","[[0.060150377452373505, 0.005859375, 0.9774436354637146, 0.978515625]]"
86,00854252_6,0.8481269064518273,"nutrition-table(215,308),(719,631)","[[0.215, 0.308, 0.719, 0.631]]","[[0.3218750059604645, 0.21458333730697632, 0.598437488079071, 0.7145833373069763]]"
87,01642582_1,0.6860231722356275,"nutrition-table-text(85,635),(516,798)","[[0.085, 0.635, 0.516, 0.798]]","[[0.6230000257492065, 0.08733333647251129, 0.7590000033378601, 0.531333327293396]]"
88,0014100074120_2,0.9583224607187107,"nutrition-table(352,226),(682,531)","[[0.352, 0.226, 0.682, 0.531]]","[[0.22267110645771027, 0.3480769097805023, 0.535646378993988, 0.6836538314819336]]"
89,0038000316104_4,0.6066476670324128,"nutrition-table(78,61),(532,860)","[[0.078, 0.061, 0.532, 0.86]]","[[0.0632440447807312, 0.0763888880610466, 0.5659722089767456, 0.5572090148925781]]"
90,0021000419074_1,0.8570025550686917,"nutrition-table(136,233),(516,468)","[[0.136, 0.233, 0.516, 0.468]]","[[0.2384081333875656, 0.13628517091274261, 0.4574841558933258, 0.485617458820343]]"
91,3250390768296_3,0.9573584917811275,"nutrition-table(110,268),(908,862)","[[0.11, 0.268, 0.908, 0.862]]","[[0.27666667103767395, 0.11349999904632568, 0.8579999804496765, 0.9225000143051147]]"
92,20298302_2,0.5336103109769506,"nutrition-table(565,86),(932,400)","[[0.565, 0.086, 0.932, 0.4]]","[[0.06714178621768951, 0.5540000200271606, 0.6339635848999023, 0.9350000023841858]]"
93,3284230002240_2,0.9439825812652726,"nutrition-table(328,266),(671,870)","[[0.328, 0.266, 0.671, 0.87]]","[[0.2486666738986969, 0.3230000138282776, 0.862666666507721, 0.671999990940094]]"
94,26155432_2,0.9665004539881679,"nutrition-table(51,188),(966,878)","[[0.051, 0.188, 0.966, 0.878]]","[[0.19139093160629272, 0.038288287818431854, 0.8775720000267029, 0.9799103736877441]]"
95,3350031653285_1,0.37975212928290697,"nutrition-table(188,546),(802,848)","[[0.188, 0.546, 0.802, 0.848]]","[[0.5721026659011841, 0.5158762335777283, 0.8694701194763184, 0.7788762450218201]]"
96,0072869110138_3,0.9277781897583377,"nutrition-table(168,101),(862,803)","[[0.168, 0.101, 0.862, 0.803]]","[[0.08718752861022949, 0.16850000619888306, 0.8409979939460754, 0.8641433715820312]]"
97,20520090_2,0.326347027834097,"nutrition-table-text(51,346),(855,438)","[[0.051, 0.346, 0.855, 0.438]]","[[0.3532475531101227, 0.05269607901573181, 0.6017156839370728, 0.8672385811805725]]"
98,20608668_3,0.8874306232949953,"nutrition-table(11,218),(898,651)","[[0.011, 0.218, 0.898, 0.651]]","[[0.21291649341583252, 0.0017585356254130602, 0.6949986815452576, 0.8995097875595093]]"
99,0041498000028_3,0.9417917306982273,"nutrition-table(315,183),(715,600)","[[0.315, 0.183, 0.715, 0.6]]","[[0.18734177947044373, 0.31049999594688416, 0.6081024408340454, 0.7229160666465759]]"
100,0052159000073_2,0.5919022382971868,"nutrition-table(18,168),(972,638)","[[0.018, 0.168, 0.972, 0.638]]","[[0.15744875371456146, 0.37944740056991577, 0.65906822681427, 0.9787784814834595]]"
101,0063667090067_4,0.6239980727103756,"nutrition-table(135,191),(872,835)","[[0.135, 0.191, 0.872, 0.835]]","[[0.17800000309944153, 0.12345679104328156, 0.6154999732971191, 0.8996913433074951]]"
102,0021130079278_2,0.6552441864999234,"nutrition-table(325,546),(682,700)","[[0.325, 0.546, 0.682, 0.7]]","[[0.5377851724624634, 0.26346153020858765, 0.7295671105384827, 0.7009615302085876]]"
103,26101989_3,0.7527143559427014,"nutrition-table(25,16),(972,762)","[[0.025, 0.016, 0.972, 0.762]]","[[0.013437837362289429, 0.017672644928097725, 0.968875527381897, 1.0]]"
104,0016000106406_2,0.9690799770708596,"nutrition-table(338,1),(720,276)","[[0.338, 0.001, 0.72, 0.276]]","[[0.0, 0.3381410241127014, 0.2751901149749756, 0.7294871807098389]]"
105,20472313_2,0.9165970625216672,"nutrition-table(202,375),(732,598)","[[0.202, 0.375, 0.732, 0.598]]","[[0.3715277910232544, 0.1964745968580246, 0.6065305471420288, 0.7186210751533508]]"
106,0016000442825_4,0.27102139288326943,"nutrition-table-text(35,216),(299,950)","[[0.035, 0.216, 0.299, 0.95]]","[[0.16053812205791473, 0.016534391790628433, 0.9937219619750977, 0.8746693134307861]]"
107,20889869_2,0.8108747245749942,"nutrition-table(41,151),(430,668)","[[0.041, 0.151, 0.43, 0.668]]","[[0.13778795301914215, 0.034971319139003754, 0.7322016954421997, 0.45222246646881104]]"
108,26212630_6,0.9454026990493316,"nutrition-table(11,0),(987,810)","[[0.011, 0.0, 0.987, 0.81]]","[[0.006224066484719515, 0.0, 0.7831950187683105, 0.9908745288848877]]"
109,3596710458455_7,0.9505069748764167,"nutrition-table(245,619),(582,845)","[[0.245, 0.619, 0.582, 0.845]]","[[0.6207837462425232, 0.2430555522441864, 0.84995037317276, 0.5767195820808411]]"
110,22000279_5,0.7894344249856801,"nutrition-table(31,0),(992,819)","[[0.031, 0.0, 0.992, 0.819]]","[[0.0, 0.003009021282196045, 1.0, 1.0]]"
111,8480000342096_3,0.9360099200595059,"nutrition-table(275,351),(798,680)","[[0.275, 0.351, 0.798, 0.68]]","[[0.34389856457710266, 0.2733530104160309, 0.6901743412017822, 0.7915437817573547]]"
112,0030000059708_1,0.8323668365323373,"nutrition-table-text(171,341),(786,473)","[[0.171, 0.341, 0.786, 0.473]]","[[0.33829066157341003, 0.13085676729679108, 0.47364458441734314, 0.8514056205749512]]"
113,3257984581972_1,0.9513207723293466,"nutrition-table(85,355),(466,603)","[[0.085, 0.355, 0.466, 0.603]]","[[0.3563057780265808, 0.09330323338508606, 0.6006269454956055, 0.4710308611392975]]"
114,0070177067731_2,0.8540783538674042,"nutrition-table(398,685),(982,898)","[[0.398, 0.685, 0.982, 0.898]]","[[0.6883484125137329, 0.4050000011920929, 0.9242081642150879, 0.9909999966621399]]"
115,0058449771807_2,0.9356567865234606,"nutrition-table(78,36),(885,600)","[[0.078, 0.036, 0.885, 0.6]]","[[0.025647882372140884, 0.07107843458652496, 0.6154565811157227, 0.8958333134651184]]"
116,9300601462889_2,0.7785784795734821,"nutrition-table(65,45),(355,968)","[[0.065, 0.045, 0.355, 0.968]]","[[0.0533333420753479, 0.05299999937415123, 0.9414469003677368, 0.3089999854564667]]"
117,0073141152327_2,0.6561059908084315,"nutrition-table(59,213),(678,538)","[[0.059, 0.213, 0.678, 0.538]]","[[0.22157806158065796, 0.25514477491378784, 0.5365731716156006, 0.674173891544342]]"
118,0071962226104_3,0.9194307032728043,"nutrition-table(176,348),(700,828)","[[0.176, 0.348, 0.7, 0.828]]","[[0.343413770198822, 0.17637762427330017, 0.8466305136680603, 0.719249427318573]]"
119,0039000081047_4,0.9680528960246999,"nutrition-table(218,256),(765,653)","[[0.218, 0.256, 0.765, 0.653]]","[[0.2526378035545349, 0.218901127576828, 0.6482843160629272, 0.7708150148391724]]"
120,26209142_6,0.9021492064051417,"nutrition-table(15,0),(998,1000)","[[0.015, 0.0, 0.998, 1.0]]","[[0.0005201268941164017, 0.010787504725158215, 1.0, 0.9060744643211365]]"
121,20511586_3,0.9223604998469527,"nutrition-table(222,1),(635,885)","[[0.222, 0.001, 0.635, 0.885]]","[[0.004195264540612698, 0.22004060447216034, 0.921162486076355, 0.6213199496269226]]"
122,0071921377601_1,0.9240577627919584,"nutrition-table(92,139),(359,539)","[[0.092, 0.139, 0.359, 0.539]]","[[0.14981617033481598, 0.08700980246067047, 0.5306234955787659, 0.3624959886074066]]"
